Point ID,arc_length,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Residual_Density,Residual_Energy,Residual_Momentum_0,Residual_Momentum_1,Residual_Momentum_2,Residual_Momentum_Magnitude,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,vtkValidPointMask,Y_Plus
603,6.03,2.09788e-05,4.34663,0,1.79151e-05,0.0352498,0.000251783,-1.05E-06,0,0.000251785,6.03,0,0,6.03,1.73805,-0.135309,-4.89E-17,-1.51E-11,-3.15E-13,-1.70E-14,0,3.15073e-13,0,0,0,0,288.61,12.0017,-0.0501243,0,12.0018,1,0
604,6.04,2.09789e-05,4.34666,0,1.79151e-05,0.0353853,0.000252747,-1.03E-06,0,0.000252749,6.04,0,0,6.04,1.73805,-0.134817,-4.85E-17,-1.50E-11,-3.16E-13,-1.62E-14,0,3.16608e-13,0,0,0,0,288.609,12.0476,-0.04922,0,12.0477,1,0
605,6.05,2.0979e-05,4.34668,0,1.79151e-05,0.0355207,0.00025371,-1.01E-06,0,0.000253712,6.05,0,0,6.05,1.73806,-0.134325,-4.80E-17,-1.49E-11,-3.18E-13,-1.54E-14,0,3.18146e-13,0,0,0,0,288.609,12.0935,-0.0483156,0,12.0936,1,0
606,6.06,2.09791e-05,4.34671,0,1.79151e-05,0.0356561,0.000254674,-9.95E-07,0,0.000254676,6.06,0,0,6.06,1.73806,-0.133833,-4.76E-17,-1.49E-11,-3.19E-13,-1.46E-14,0,3.19686e-13,0,0,0,0,288.609,12.1394,-0.0474113,0,12.1395,1,0
607,6.07,2.09792e-05,4.34674,0,1.79151e-05,0.0357915,0.000255638,-9.76E-07,0,0.00025564,6.07,0,0,6.07,1.73807,-0.133342,-4.71E-17,-1.48E-11,-3.21E-13,-1.39E-14,0,3.21229e-13,0,0,0,0,288.608,12.1853,-0.046507,0,12.1854,1,0
608,6.08,2.09793e-05,4.34676,0,1.79151e-05,0.0359269,0.000256602,-9.57E-07,0,0.000256604,6.08,0,0,6.08,1.73808,-0.13285,-4.67E-17,-1.47E-11,-3.23E-13,-1.31E-14,0,3.22774e-13,0,0,0,0,288.608,12.2312,-0.0456027,0,12.2313,1,0
609,6.09,2.09794e-05,4.34679,0,1.79151e-05,0.0360623,0.000257566,-9.38E-07,0,0.000257568,6.09,0,0,6.09,1.73808,-0.132358,-4.62E-17,-1.47E-11,-3.24E-13,-1.23E-14,0,3.24321e-13,0,0,0,0,288.608,12.2771,-0.0446983,0,12.2771,1,0
610,6.1,2.09795e-05,4.34682,0,1.7915e-05,0.0361977,0.00025853,-9.19E-07,0,0.000258531,6.1,0,0,6.1,1.73809,-0.131866,-4.58E-17,-1.46E-11,-3.26E-13,-1.15E-14,0,3.2587e-13,0,0,0,0,288.608,12.323,-0.043794,0,12.323,1,0
611,6.11,2.09796e-05,4.34684,0,1.7915e-05,0.0363332,0.000259494,-9.00E-07,0,0.000259495,6.11,0,0,6.11,1.73809,-0.131375,-4.53E-17,-1.45E-11,-3.27E-13,-1.07E-14,0,3.27421e-13,0,0,0,0,288.607,12.3688,-0.0428897,0,12.3689,1,0
612,6.12,2.09796e-05,4.34687,0,1.7915e-05,0.0364686,0.000260457,-8.81E-07,0,0.000260459,6.12,0,0,6.12,1.7381,-0.130883,-4.49E-17,-1.45E-11,-3.29E-13,-9.95E-15,0,3.28975e-13,0,0,0,0,288.607,12.4147,-0.0419854,0,12.4148,1,0
