"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
199, 9.997532964000000e-01, -1.570538050000000e-02, 2.091909919610456e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332415104675332e+00
3399, 9.263200844220365e-01, 2.612492786944827e-01, 2.090644193470671e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329736749550112e+00
3408, 8.998423437486271e-01, 3.002100933439857e-01, 2.090255303952546e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328910484302735e+00
3434, 2.254885978345892e-01, 4.179036851730074e-01, 2.092999154736494e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.334851982209062e+00
3453, 9.556875264125946e-01, -2.057884308506453e-01, 2.091102502498121e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330707659722729e+00
3466, 9.342719161712294e-01, -2.478061799571768e-01, 2.090765376458032e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329994178741495e+00
3478, 9.984586665942501e-01, -3.922955132399737e-02, 2.091883253470922e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332358683069300e+00
3481, 7.875026173376242e-01, 4.090748648157395e-01, 2.088611230419416e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.325368336157182e+00
3512, 7.872744205973181e-01, -4.092351491141434e-01, 2.088596964043977e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.325338974779827e+00
3517, 6.166980286895765e-01, -4.861908782566440e-01, 2.086186474995867e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.320017054953337e+00
3525, 7.999719085942303e-01, -4.000210670131447e-01, 2.088789082379753e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.325757002701597e+00
3547, 3.086583369446475e-01, -4.619397882616436e-01, 2.088771076894118e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.325563926763272e+00
3557, 4.451334186605047e-01, -4.969805411201898e-01, 2.085671020799578e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318797211025044e+00
3560, 4.764472306816073e-01, -4.994449589869085e-01, 2.085484822880850e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318403326374795e+00
3571, 1.409368693232129e-01, -3.479564170820603e-01, 2.099533125059615e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.349220829279196e+00
3594, 5.548624870163748e-01, -4.969809931158115e-01, 2.085626160562844e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318755373830332e+00
